0.090875,0.426,0.0017015,0.21432,1.2042,0.28215,-0.26342,0.19391,-0.27733,0.66718,-0.45665,-0.39713,0.20887,-0.33662,-0.063048,0.36606,-0.31339,0.17553,4
1.5482,1.849,1.4497,0.039115,-1.398,-0.56465,2.4812,-1.8469,2.7352,1.3405,2.7794,2.7932,2.5698,1.6325,-0.26372,-0.41187,-1.2864,-1.6824,1
0.33376,-0.36457,-0.62787,0.068316,0.37622,-0.56465,-0.52903,0.19391,-0.6539,-0.41013,-0.45665,-0.49648,-0.14526,-0.86173,1.3416,-1.3009,1.7949,1.1045,1
-0.51633,-0.36457,-1.0686,-0.39889,0.37622,0.070447,-1.0012,0.95922,-1.0305,-0.20814,-0.89227,-0.93805,-0.38136,-0.73045,-0.66505,-1.0787,0.65965,0.83908,4
-1.0021,-1.7876,-1.3204,-0.8953,-0.096901,-0.35295,-1.4439,1.7245,-1.407,-1.4874,-1.5457,-1.2582,-1.916,-1.1243,-0.86572,0.1438,1.7949,1.6353,4
-0.15201,-0.20646,0.94606,0.76913,0.021378,0.49384,0.35634,-0.57139,0.47579,-0.20814,0.35237,0.29834,-0.7355,-1.1243,-0.46438,0.1438,0.984,1.1045,3
-1.0021,-1.4714,-0.81674,-0.8077,-0.096901,0.070447,-1.1193,1.2143,-1.0305,-1.2854,-1.1723,-1.0208,-1.4733,-0.86173,-0.86572,-0.30074,0.82183,0.83908,4
-0.51633,-1.7876,-1.0686,-1.0121,-0.80658,-0.56465,-1.4144,1.7245,-1.407,-2.0934,-1.3279,-1.2527,-1.7389,-0.993,-0.26372,1.4774,1.1462,0.83908,3
-0.75921,0.10977,-0.56491,0.0099144,0.73106,-0.56465,-0.55854,0.32146,-0.6539,-0.073474,-0.33218,-0.56272,0.44497,-0.20534,-0.26372,-0.1896,0.010958,-0.089893,1
-0.63777,-0.52269,0.12762,-0.7785,-0.45174,0.28215,-0.55854,0.44901,-0.6539,-0.3428,-0.54999,-0.58479,-0.46989,-0.074065,0.33829,0.032664,-0.31339,0.17553,4
0.21232,1.5328,1.2608,0.88593,0.37622,0.070447,0.97611,-1.0816,0.85236,1.1385,1.1303,0.95516,2.0386,0.18849,-0.063048,-1.1898,-0.47556,-0.2226,2
-0.63777,-1.4714,-2.0129,-1.8005,-1.1614,-0.56465,-1.562,2.1072,-1.407,-1.3528,-1.6702,-1.352,-1.5323,0.97615,-0.86572,0.1438,-1.2864,-1.417,4
0.57664,-0.6808,-0.37604,0.76913,0.84934,-0.56465,0.17927,-0.57139,0.09923,-0.67946,0.35237,0.18794,-0.76501,-0.074065,-0.46438,-0.30074,1.4705,0.44095,1
1.1838,1.3747,1.072,0.44792,-0.096901,0.28215,1.3303,-1.2091,1.2289,1.6098,1.068,1.2974,1.2713,0.18849,-0.26372,-0.1896,-0.63774,-0.089893,3
0.81952,1.6909,1.072,1.2947,0.84934,0.28215,1.0942,-1.0816,1.2289,1.3405,1.1303,1.1042,1.3598,0.18849,-0.063048,-0.8564,-0.47556,-0.35531,2
-1.245,0.26789,-0.50195,-0.5157,0.25794,-0.56465,-0.49952,0.32146,-0.6539,-0.27547,-0.48776,-0.53512,0.20887,0.31977,-1.2671,-1.0787,-0.63774,-0.48802,1
-1.245,-1.3133,-1.887,-1.4501,-0.33346,-0.77635,-1.4144,1.8521,-1.407,-1.6221,-1.5457,-1.2692,-1.2962,1.2387,0.13762,-1.3009,-1.6108,-1.6824,4
-0.030565,-0.36457,-1.1945,0.068316,0.84934,-0.35295,-0.61757,0.32146,-0.6539,-0.47746,-0.67446,-0.59031,0.0022931,-0.59917,0.53896,-1.3009,1.6327,1.3699,1
