1317.3,1315.2,1312.8,1309.8,1306.3,1302.1,1297,1291,1283.7,1275,1264.6,1252.1,1237.2,1219.2,1197.8,1172,1141.2,1104.2,1059.9,1006.8,943.21,866.98,943.21,1006.8,1059.9,1104.2,1141.2,1172,1197.8,1219.2,1237.2,1252.1,1264.6,1275,1283.7,1291,1297,1302.1,1306.3,1309.8,1312.8,1315.2,1317.3,1319,1320.4,1321.6,1322.6,1323.4,1324.1,1324.7,1325.2,1325.6,1325.9,1326.2,1326.4,1326.6,1326.8,1326.9,1327,1327.1,1327.2,1327.2,1327.3,1327.3,1327.4,1327.4,1327.4,1327.5,1327.5,1327.5,1327.5,1327.5,1327.5,1327.5,1327.5,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1
7330,7379.9,7441.8,7518.5,7613.6,7731.4,7877.4,8058.3,8282.6,8560.5,8905,9331.9,9860.9,10517,9860.9,9331.9,8905,8560.5,8282.6,8058.3,7877.4,7731.4,7613.6,7518.5,7441.8,7379.9,7330,7289.7,7257.2,7230.9,7209.8,7192.7,7178.9,7167.8,7158.8,7151.6,7145.7,7141,7137.2,7134.1,7131.6,7129.6,7128,7126.7,7125.7,7124.8,7124.2,7123.6,7123.2,7122.8,7122.5,7122.3,7122.1,7121.9,7121.8,7121.7,7121.6,7121.6,7121.5,7121.5,7121.4,7121.4,7121.4,7121.4,7121.4,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,7121.3,2
809.42,809.78,810.21,810.72,811.32,812.04,812.9,813.92,815.14,816.59,818.31,820.36,822.81,825.72,829.18,833.3,838.21,844.06,851.02,859.31,869.17,880.92,894.9,911.55,931.38,954.98,983.08,1016.5,1056.4,1103.8,1056.4,1016.5,983.08,954.98,931.38,911.55,894.9,880.92,869.17,859.31,851.02,844.06,838.21,833.3,829.18,825.72,822.81,820.36,818.31,816.59,815.14,813.92,812.9,812.04,811.32,810.72,810.21,809.78,809.42,809.12,808.87,808.65,808.48,808.33,808.2,808.09,808.01,807.93,807.87,807.82,807.77,807.73,807.7,807.68,807.65,807.64,807.62,807.61,807.6,807.59,807.58,807.57,807.57,807.56,807.56,807.56,807.55,807.55,807.55,807.55,807.55,807.55,807.54,807.54,807.54,807.54,807.54,807.54,807.54,807.54,2
45334,45334,45334,45334,45334,45334,45334,45334,45334,45334,45334,45334,45334,45334,45334,45334,45335,45335,45335,45335,45335,45335,45335,45335,45335,45336,45336,45336,45337,45337,45337,45338,45339,45339,45340,45341,45343,45344,45346,45348,45350,45353,45356,45360,45364,45369,45375,45383,45391,45401,45412,45426,45442,45460,45482,45507,45537,45572,45614,45662,45718,45785,45863,45954,46061,46186,46334,46506,46709,46946,47224,47551,47934,48383,48909,49527,50251,51100,52096,53263,54633,56239,54633,53263,52096,51100,50251,49527,48909,48383,47934,47551,47224,46946,46709,46506,46334,46186,46061,45954,2
1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8104,1.8103,1.8103,1.8103,1.8103,1.8103,1.8103,1.8103,1.8103,1.8103,1.8103,1.8102,1.8102,1.8102,1.8101,1.81,1.8099,1.8098,1.8096,1.8094,1.8091,1.8088,1.8083,1.8077,1.807,1.806,1.8047,1.8031,1.801,1.7983,1.7948,1.7903,1.7844,1.7769,1.7672,1.7547,1.7385,1.7177,1.6907,1.656,1.6112,1.656,1.6907,1.7177,1.7385,1.7547,1.7672,1.7769,1.7844,1.7903,1.7948,1.7983,1.801,1.8031,1.8047,1.806,1.807,1.8077,1
2.0735,2.0735,2.0736,2.0736,2.0737,2.0737,2.0738,2.0739,2.074,2.0741,2.0742,2.0744,2.0746,2.0748,2.0751,2.0754,2.0758,2.0762,2.0767,2.0774,2.0781,2.079,2.08,2.0813,2.0827,2.0845,2.0865,2.0889,2.0918,2.0952,2.0993,2.1041,2.1098,2.1165,2.1245,2.1339,2.1451,2.1584,2.1741,2.1928,2.2149,2.2411,2.2721,2.3088,2.3524,2.404,2.4651,2.5376,2.6235,2.7252,2.8458,2.9887,2.8458,2.7252,2.6235,2.5376,2.4651,2.404,2.3524,2.3088,2.2721,2.2411,2.2149,2.1928,2.1741,2.1584,2.1451,2.1339,2.1245,2.1165,2.1098,2.1041,2.0993,2.0952,2.0918,2.0889,2.0865,2.0845,2.0827,2.0813,2.08,2.079,2.0781,2.0774,2.0767,2.0762,2.0758,2.0754,2.0751,2.0748,2.0746,2.0744,2.0742,2.0741,2.074,2.0739,2.0738,2.0737,2.0737,2.0736,2
382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.14,382.15,382.15,382.15,382.16,382.16,382.17,382.18,382.19,382.2,382.21,382.23,382.25,382.28,382.32,382.36,382.41,382.48,382.56,382.66,382.79,382.94,383.14,383.37,383.67,384.03,384.49,385.05,385.74,386.6,387.66,388.98,390.61,392.63,395.13,398.23,402.06,406.81,412.68,419.96,428.97,440.13,453.95,471.05,492.23,518.46,492.23,471.05,453.95,440.13,428.97,419.96,412.68,406.81,402.06,398.23,395.13,392.63,390.61,388.98,387.66,386.6,385.74,385.05,384.49,384.03,383.67,383.37,2
1400.2,1403.1,1406.5,1410.6,1415.4,1421.1,1427.8,1435.7,1445.1,1456.2,1469.2,1484.7,1503,1524.6,1550.1,1580.3,1615.9,1658,1707.8,1658,1615.9,1580.3,1550.1,1524.6,1503,1484.7,1469.2,1456.2,1445.1,1435.7,1427.8,1421.1,1415.4,1410.6,1406.5,1403.1,1400.2,1397.7,1395.6,1393.9,1392.4,1391.1,1390.1,1389.2,1388.4,1387.7,1387.2,1386.7,1386.3,1386,1385.7,1385.5,1385.3,1385.1,1385,1384.9,1384.7,1384.7,1384.6,1384.5,1384.5,1384.4,1384.4,1384.4,1384.3,1384.3,1384.3,1384.3,1384.3,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,1384.2,2
686.17,686.27,686.39,686.54,686.74,687,687.33,687.75,688.28,688.97,689.85,690.97,692.4,694.24,696.58,699.59,703.43,708.34,714.63,722.67,732.95,746.1,762.93,746.1,732.95,722.67,714.63,708.34,703.43,699.59,696.58,694.24,692.4,690.97,689.85,688.97,688.28,687.75,687.33,687,686.74,686.54,686.39,686.27,686.17,686.09,686.04,685.99,685.95,685.93,685.91,685.89,685.87,685.86,685.86,685.85,685.84,685.84,685.84,685.84,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,685.83,2
6102.3,6102.3,6102.3,6102.4,6102.4,6102.4,6102.4,6102.4,6102.4,6102.4,6102.5,6102.5,6102.5,6102.6,6102.7,6102.7,6102.8,6102.9,6103,6103.2,6103.4,6103.6,6103.9,6104.2,6104.6,6105.1,6105.7,6106.4,6107.2,6108.3,6109.5,6111.1,6112.9,6115.1,6117.8,6121.1,6125.1,6129.9,6135.7,6142.7,6151.2,6161.5,6174,6189.1,6207.4,6229.6,6256.4,6288.8,6328.2,6375.8,6433.4,6503.2,6587.6,6689.9,6813.8,6963.7,7145.2,7365,7631.2,7953.4,7631.2,7365,7145.2,6963.7,6813.8,6689.9,6587.6,6503.2,6433.4,6375.8,6328.2,6288.8,6256.4,6229.6,6207.4,6189.1,6174,6161.5,6151.2,6142.7,6135.7,6129.9,6125.1,6121.1,6117.8,6115.1,6112.9,6111.1,6109.5,6108.3,6107.2,6106.4,6105.7,6105.1,6104.6,6104.2,6103.9,6103.6,6103.4,6103.2,2
