1.2498,1.6879,-0.4103,-0.4969,-0.4079,-0.32616,-0.37239,0.29126,0.18331,-0.16365,1
1.0601,-0.59245,1.1666,1.4114,1.8832,-0.06125,-0.00063338,0.93213,0.060299,-0.65598,1
1.0601,-0.59245,0.61007,0.91663,0.94794,-0.083326,-0.14571,0.47437,0.18331,-0.19442,1
0.80712,-0.59245,-0.36392,-0.39089,-0.43028,-0.3372,-0.36333,0.29126,0.30632,0.14405,1
0.048207,-0.59245,-0.24024,-0.28487,-0.31393,-0.30961,-0.39053,1.0237,1.5364,1.0672,1
-1.2166,1.6879,-0.37938,-0.46156,-0.55557,-0.32616,-0.3996,0.47437,0.42933,0.14405,1
-1.0269,1.6879,-0.37938,-0.42622,-0.34078,-0.3372,-0.40413,0.19971,0.55234,0.45175,1
-1.7858,-0.59245,-0.37938,-0.42622,-0.34078,-0.29305,-0.36786,0.84058,1.1674,0.75946,2
0.61739,-0.59245,-0.4103,-0.46156,0.052995,-0.12196,-0.19105,0.29126,0.30632,0.14405,1
0.74387,-0.59245,-0.42576,-0.4969,-0.30498,-0.133,-0.18651,-0.53271,-0.55475,-0.47136,1
1.819,1.6879,-0.34846,-0.39089,-0.28708,-0.29305,-0.31799,1.4814,1.1674,0.14405,1
-0.77395,-0.59245,-0.27116,-0.35555,-0.50635,-0.33168,-0.34973,0.74902,0.42933,-0.10211,2
-0.33125,1.6879,-0.37938,-0.42622,0.066419,0.86594,0.65675,0.29126,-0.062711,-0.47136,1
-0.33125,1.6879,-0.37938,-0.42622,0.066419,0.86594,0.65675,0.29126,-0.062711,-0.47136,1
0.36442,-0.59245,-0.070177,-0.072842,0.91214,-0.29305,-0.29985,0.47437,-0.92378,-1.3945,1
1.0601,-0.59245,0.53277,0.52791,1.1806,0.22574,-0.15478,-0.074947,-0.062711,-0.16365,1
-0.33125,-0.59245,-0.22478,-0.17886,-0.21101,-0.32616,-0.20465,-1.9975,-1.9079,-1.0868,1
1.1233,-0.59245,-0.37938,-0.46156,-0.37658,-0.12748,-0.24998,-0.44116,0.92136,2.7595,2
-0.7107,-0.59245,0.44001,0.52791,-0.17074,8.8575,3.3996,0.65747,1.0444,0.75946,1
-1.5961,-0.59245,-0.34846,-0.35555,-0.67191,-0.30409,-0.31799,-2.3638,-1.5388,-0.0098009,2
0.42766,-0.59245,-0.37938,-0.46156,-0.54662,-0.2213,-0.25452,-1.4482,-0.30873,1.3749,1
0.74387,-0.59245,-0.36392,-0.42622,-0.4079,-0.30961,-0.34973,-1.1736,-0.30873,0.75946,2
-0.45773,1.6879,-0.11656,-0.10818,0.58996,-0.088845,-0.19558,-0.80737,-0.18572,-0.47136,2
-0.45773,1.6879,-0.11656,-0.10818,0.58996,-0.088845,-0.19558,-0.80737,-0.18572,-0.47136,2
-0.96367,-0.59245,-0.31754,-0.39089,0.91214,0.14847,-0.091307,0.38281,0.18331,-0.16365,1
-1.7858,1.6879,-0.4103,-0.46156,-0.59584,-0.31512,-0.29079,0.65747,0.92136,0.69792,2
0.048207,1.6879,1.6768,2.2241,0.42887,-0.20474,-0.10491,-1.9975,-1.4158,-0.47136,1
0.17469,-0.59245,-0.30208,-0.32021,-0.067823,-0.20474,-0.15478,-0.62426,-1.1698,-1.056,1
0.11145,-0.59245,-0.1011,-0.072842,-0.014126,0.26437,-0.12304,-0.25805,0.18331,0.45175,1
1.0601,-0.59245,-0.42576,-0.4969,-0.52872,-0.18267,0.044703,-1.4482,-0.67776,0.45175,2
0.30118,-0.59245,-0.11656,-0.10818,0.61234,1.8318,2.1574,-0.074947,0.060299,0.14405,1
2.5147,1.6879,-0.36392,-0.42622,-0.31393,-0.32064,-0.38599,0.47437,0.55234,0.14405,2
-0.64746,-0.59245,-0.24024,-0.32021,-0.014126,-0.14955,0.35299,0.016605,0.060299,-0.16365,2
