1.4431,1.0813,-0.9051,-0.15441,1
1.2,-0.78949,0.14204,0.59723,1
1.0536,1.316,-1.276,-1.1762,1
-0.064805,-1.1041,0.7746,0.07239,1
0.56566,-1.5118,1.7044,0.25767,1
0.96297,0.66432,-0.49771,0.25271,1
1.2443,-0.80132,0.25442,0.95973,1
-0.74644,1.5446,0.29064,-0.8608,1
1.0348,1.1781,-1.0324,0.27192,1
0.77297,0.19787,-0.22891,0.82712,1
0.10482,0.16024,0.72015,0.83456,1
1.6922,1.5765,-1.3577,-1.4191,1
1.8869,1.0333,-0.94357,0.31281,1
1.2251,1.4267,-1.2312,-1.3788,1
0.15213,1.2057,-0.71982,-0.2492,1
0.069823,-1.2846,1.6741,-0.8298,1
0.22628,-0.98046,1.0149,0.24156,1
-0.31921,1.12,0.19895,-1.2462,1
2.1646,1.3672,-1.3716,-0.99958,1
0.34973,0.2953,0.47265,0.78065,1
1.3541,0.98603,-0.88809,0.085405,1
-0.76053,-0.19264,1.6326,0.83766,1
0.68972,0.78255,-0.5106,0.21491,1
0.77876,0.70945,-0.42913,0.21429,1
1.451,0.22008,-0.82074,0.68832,1
1.0621,1.3468,-1.2146,-1.1012,1
1.3091,1.1773,-1.0398,0.26015,1
-0.25629,1.2637,-1.2027,-2.7173,1
0.83884,0.86495,-0.50733,0.77817,1
-0.46396,1.3235,-1.2224,-3.0494,1
-0.46396,1.3235,-1.2224,-3.0494,1
1.2158,0.71733,-0.90386,0.21925,1
1.3638,-1.1782,0.50314,0.26944,1
1.6992,0.35694,-0.68974,1.0304,1
0.94223,0.67578,-0.44059,-0.16989,1
1.5792,0.61882,-0.90959,0.30352,1
0.7342,0.84059,-0.46577,0.73108,1
-0.46252,1.6341,-0.40763,-2.8319,1
0.85025,-0.25533,0.77911,0.42931,1
-0.0049365,0.62419,0.10723,0.32025,1
1.3404,1.623,-1.2959,-1.5362,1
0.45898,-0.52618,0.051533,0.42125,1
1.4644,-1.0385,0.34141,0.69947,1
0.17539,1.0151,-0.38511,-0.72883,1
-0.13847,1.2228,-0.54111,-0.61976,1
1.2311,-0.74041,0.25074,0.77755,1
1.297,-0.24745,-0.056554,1.422,1
1.3934,1.5557,-1.4113,-1.5752,1
0.64233,0.27955,-0.18019,0.74719,1
1.1741,1.0498,-0.92639,-0.35084,1
-0.16496,0.73096,0.10825,0.20066,1
-0.093733,0.99069,-0.081521,0.12754,1
0.22217,0.3537,0.49413,0.95043,1
0.81996,1.2404,-1.1221,0.056289,1
1.4154,0.063878,-0.088889,0.94424,1
1.6122,1.1558,-1.0195,-0.067632,1
0.48491,1.0136,-0.37467,-0.87384,1
0.97792,0.81515,-0.46925,0.96282,1
1.2585,0.13052,-0.12492,0.88971,1
-0.58712,-0.0031248,1.4823,1.036,1
