0.40473,0.045803,-0.81124,-0.76999,0.089992,-0.36759,-0.58003,0.63666,-0.19813,-1.0998,-1.1336,0.47608,0.26688,1.3258,0.30845,0.78155,0.52019,1.0976,1.2299,-1.159,-0.37421,-1.7489,-0.44184,0.42421,-1.3057,0.4255,0.12831,0.086946,-0.77999,2.4127,0.31822,1.2569,1.3653,-0.034027,-0.20317,0.70346,0.058681,0.92045,-0.78256,0.19193,1
-0.65953,0.64422,0.35529,0.33222,0.6366,0.74812,0.20267,0.7893,1.6766,0.39735,-1.7298,-0.8505,-0.1756,-2.1093,-0.99769,-1.5875,-1.2894,-0.25921,-0.26609,-0.41108,-1.4257,2.1174,0.5644,1.1714,-1.6234,0.22214,0.068055,0.61111,0.41386,-0.11121,0.94201,0.26027,1.0901,0.56116,0.25789,2.1767,0.2016,-0.071881,-1.3179,0.96641,2
-0.77888,1.2137,-1.1301,0.10757,1.6942,1.6177,0.9022,-0.081306,1.748,1.0899,0.56994,-0.91617,-0.078615,-0.1561,-0.40893,-0.9162,0.43658,-0.49823,-2.6099,1.9917,-0.25405,-0.64425,0.75112,0.16858,0.31246,0.23231,1.1928,-0.56578,-1.4321,-0.28422,-0.064113,0.59247,0.12701,1.2853,-1.8971,1.4804,-0.0025696,-0.55812,0.9225,0.37066,2
0.6136,0.42223,-1.063,-0.0047578,0.25635,0.031655,-0.25228,0.51229,0.84338,0.41054,0.58211,0.95548,0.49115,-0.11636,0.49151,-1.0272,-0.85345,-0.47714,-1.4629,-0.34563,-0.19396,-0.48644,-1.2925,-0.43117,-1.2561,-0.61161,0.33921,-0.59545,2.2398,-0.6506,-0.1446,1.2065,-0.29557,-1.641,0.16768,-1.0624,0.45681,-1.7886,-1.1295,-0.25489,2
-0.12243,-0.1955,1.354,0.97108,1.5635,2.2521,1.3131,0.7893,0.68269,0.58202,-0.51908,-0.78483,-2.4668,-1.1213,-0.77505,-0.050679,-1.4089,-0.92004,-0.24947,0.89784,-0.18395,0.28287,-0.65968,1.1911,-0.18392,-2.0656,0.13835,1.4913,-1.1713,0.8658,0.40877,0.22,-0.77712,-0.15306,-0.37356,0.43101,0.33431,-0.42912,-0.22743,0.24158,1
-0.27162,-0.72635,-0.34127,-1.135,-1.639,-1.4341,-0.47241,0.74973,0.17681,1.8483,1.9753,1.783,1.7095,0.025591,-0.68105,0.071382,0.25741,-0.5615,0.43206,-0.083849,1.3982,0.046159,0.55402,0.2374,2.0498,-0.62178,-0.19305,-0.75369,0.15302,0.70297,-0.59736,-0.031667,0.2646,0.57108,-0.42367,-1.9907,1.3041,-0.69705,1.9931,0.91676,3
-1.4154,2.2947,2.0002,1.5468,1.7179,1.6341,1.7436,1.3603,0.76601,1.2086,-0.70768,-2.1508,-0.67262,-2.1945,-1.9773,-0.31699,-0.80567,-0.013154,-0.55698,-0.52327,0.69727,0.13493,0.62664,0.34555,0.80885,-0.021881,0.54006,-0.69435,1.076,0.071982,-0.39614,-1.2195,0.058218,1.8606,-0.1731,-0.28541,1.9574,1.1487,-0.048988,0.013203,1
0.30526,0.61527,-1.3987,-2.3496,-1.936,-0.8106,-1.2845,-0.35832,-0.16837,0.43033,-0.1358,1.4086,0.90938,0.58202,0.6152,1.0368,2.1208,1.196,1.2549,0.7763,-0.10384,0.36177,0.1702,-0.92277,-0.81929,-1.1505,0.28899,0.14629,-0.86025,0.80474,0.92189,-0.15247,1.4832,-1.5418,-0.18312,-0.42668,-0.47216,-0.34973,0.79363,1.2643,3
-1.0574,-0.74566,0.41403,-0.58745,0.43459,0.95594,-0.13487,1.3999,1.4683,0.43033,-0.54342,-0.095271,-0.98175,-0.80338,-0.874,-1.0494,-1.1401,-0.96925,0.2409,-1.346,0.9376,-0.85137,1.3943,-0.17554,3.1518,-0.24557,0.12831,0.057276,1.2666,1.6189,1.3445,-0.27327,0.74614,0.90835,-0.45374,-0.06342,0.79369,0.45405,-0.69335,1.0458,2
0.52408,-1.5082,-0.62661,-0.48917,0.50589,-1.1169,-0.21314,-1.5568,-0.40643,-0.48643,0.98973,0.65339,0.7336,0.29245,1.1941,0.57627,1.1234,0.064177,2.0777,0.22468,2.3596,-1.236,0.66813,0.4537,1.0273,1.6558,1.2933,-0.33832,-0.39876,0.061805,1.0225,-1.2195,-0.5216,-1.4327,-3.5208,1.7428,-0.35986,-0.23065,-0.62395,0.17207,3
