0.3288,0.69601,-0.17545,0.49855,-0.18422,0.58988,-0.96753,0.93107,-0.28536,0.66152,-0.66342,0.35426,-1.0521,0.4173,-0.99346,0.75251,-0.75042,0.33891,-0.50781,0.39298,-0.552,0.018043,-0.79518,0.2742,-0.83203,-0.25449,-0.69987,-0.31538,-0.57972,0.09861,-1.0629,-0.30022,-1.0389,2
0.3288,0.70544,-0.46011,0.64499,-1.013,-1.2673,-2.0316,0.93107,-0.45174,0.040984,-1.6608,-0.041623,-1.5582,-1.2641,-2.288,-0.51206,-1.224,-0.058839,-1.7799,-0.74535,-0.84963,-0.89553,-0.57533,-1.0603,-0.35447,-1.4499,-0.20486,-1.0096,-0.15057,-0.96307,-0.12176,-0.91947,-0.1278,1
0.3288,0.70544,-1.0394,0.7759,1.921,0.34987,-2.1535,-0.98649,-0.36065,-0.87754,-0.30917,-0.57992,-0.13363,-1.9879,0.15798,0.26722,-0.76617,-2.1679,-0.92571,-1.6678,1.9178,-0.59563,0.10058,1.0213,1.9218,-0.049867,1.9059,1.0407,-0.31283,-0.20037,1.9536,-1.276,2.0503,1
0.3288,0.63087,-0.20425,0.7759,-0.54277,0.91697,-0.65538,0.93107,-1.085,0.7938,-1.1785,0.89761,-0.96473,0.86462,-1.1716,0.9762,-0.68476,0.75603,-1.1424,0.69127,-1.1408,0.56104,-1.1142,0.76368,-1.109,0.065972,-1.1196,-0.24357,-1.1487,0.14993,-1.42,0.087141,-1.6368,2
0.3288,-1.3786,-0.23199,-1.1035,-0.23391,-1.0532,-0.24959,-0.76654,-0.89748,-1.702,-1.0708,-0.57992,-0.13363,-0.99394,0.68384,-1.1957,0.32014,0.42631,0.51102,-0.53186,0.013184,-0.59563,0.10058,-0.96467,0.13553,-0.65136,0.082286,-0.68166,0.070576,-0.36418,0.47132,-0.81371,0.73353,1
0.3288,0.70544,0.10049,0.7759,-0.63015,0.91697,-0.76975,0.93107,-1.2238,0.92795,-1.1342,0.92453,-1.1937,0.8694,-1.4474,0.83067,-1.3087,0.52373,-1.2358,0.61496,-1.4405,0.45214,-1.4229,0.25787,-1.5688,-0.13537,-1.4189,0.012511,-1.5256,-0.10457,-1.7386,-0.21695,-1.9714,2
0.3288,0.70544,-1.2384,0.7759,-2.3888,0.91697,-2.1535,0.93107,0.36454,0.92795,-1.1296,0.98343,1.91,1.0086,-2.3422,1.0034,-0.56677,1.001,-1.6598,1.0915,1.9178,1.0654,1.9921,1.0213,-0.63243,0.88995,-0.9954,1.0407,-1.837,1.1394,-1.9516,1.2558,-2.2019,1
0.3288,0.70544,-1.9531,0.7759,0.2462,0.63113,-1.0092,0.93107,-0.60274,0.92795,0.39209,0.98343,0.025199,1.0086,-0.48135,1.0034,-1.9788,1.001,-1.7799,0.47187,0.31418,1.0654,1.2799,1.0213,-0.16896,0.88995,0.76361,1.0407,-1.1979,1.1394,1.7276,1.2558,-0.47603,1
0.3288,0.70544,0.11643,0.7759,-0.16021,0.91697,-0.35551,0.93107,-0.18516,0.92795,0.082908,0.98343,0.2818,1.0086,0.12018,1.0034,0.23105,1.001,0.6043,1.0915,0.86567,1.0654,0.89029,1.0213,0.55013,0.88995,0.77821,0.96499,0.99844,1.1394,0.63545,1.2558,0.91738,2
0.3288,-0.29844,-2.1136,0.7759,0.34162,-1.1226,-2.1535,0.93107,-2.363,-0.088813,-2.3044,-0.57992,-0.13363,-1.9879,-0.90704,-1.2045,0.092374,1.001,-1.7799,-0.53186,0.013184,-0.59563,0.10058,-0.98975,1.9517,-0.28024,0.59563,-0.68166,0.070576,1.1394,0.45378,-0.65673,-0.07577,1
