-1.2153,-1.8008,-2.0617,-0.90327,-0.41936,0.12255,-0.89771,-1.392,-1.7072,-1.3721,-1.3354,0.77443,0.13541,2.8923,0.96195,0.63279,2.2617,1.6427,0.45002,-0.092123,-0.53515,3
-0.68086,1.9866,-0.064227,0.76729,0.58895,0.68614,1.4218,1.0776,0.17939,-0.4997,-0.30737,-0.94424,-0.86256,-0.43873,-0.38513,-1.8587,-0.29975,0.29471,0.92914,0.23864,2.4525,2
-0.11675,-1.2123,0.51133,1.1283,0.66012,0.85029,1.1337,0.3379,-0.4574,-0.59809,-1.6741,-1.0504,-0.10048,-1.4449,-0.61876,0.42747,-0.4132,-0.26285,-0.54952,-1.0385,-0.094028,1
1.15,0.031216,-0.24197,-1.1227,0.80247,-0.545,0.016199,0.79882,1.5898,0.35955,0.88701,1.1659,0.98821,-0.46715,-0.4597,-0.99863,-0.9028,-0.60868,-0.71474,-1.0477,-0.65546,2
0.86302,0.69567,-1.1307,0.32841,-0.27701,0.38519,0.50295,0.1615,0.67929,1.4549,2.8717,0.17057,0.95192,-0.13178,-1.1208,-0.22731,-0.36543,-0.23462,-0.49996,-0.53314,0.69799,2
-0.21572,-1.1838,-1.5793,-0.45731,-1.914,-1.9622,-0.37122,-1.0847,-0.56452,-0.63089,0.17989,0.582,0.038635,0.92551,1.1111,0.016845,-0.12063,-1.1662,-1.6399,0.064071,-0.72564,3
-1.0965,-1.4021,-1.3338,-0.70506,-0.46088,-0.85142,-1.2007,-0.28804,-0.61213,-0.80799,0.35221,1.7565,0.43782,0.89709,0.57423,1.4152,1.1034,0.36529,1.8543,-0.184,-0.094028,3
-0.74024,0.72414,-2.1887,0.30718,-0.49647,-0.87331,-0.89274,0.48585,-0.028908,0.99579,2.0814,2.5926,-1.1589,0.32297,-0.7828,-1.2539,-0.35946,-0.9898,-1.7804,0.11001,1.5,3
0.14056,-1.4401,0.62136,0.90886,1.0634,0.63142,0.41355,1.072,-0.75496,0.28084,0.043218,-0.13467,-1.5762,-1.172,0.47481,0.039041,-1.2909,-0.31225,-0.9956,-0.70771,-1.0264,1
1.3084,-0.69968,-1.1645,2.2467,1.3956,1.0965,1.2828,0.6964,-0.29671,-0.76207,0.19177,-1.3424,-0.51176,-0.87074,-1.3544,-0.97088,-0.49679,0.27354,0.49132,-1.5438,0.55763,1
